	WORD	CEFR
1269	chap	b2
1270	chapel	a2
1271	chaperone	b1
1272	chapter	b2
1273	character	b1
1274	characterisation	b2
1275	characterise	c1
1276	characteristic	c1
1277	characterization	b2
1278	characterize	c1
1279	charge	b2
1280	chariot	c1
1281	charismatic	c1
1282	charity	b1
1283	charm	b2
1284	charming	c1
1285	chart	b1
1286	chase	c1
1287	chat	b2
1288	chatter	b2
1289	chatterbot	c1
1290	cheap	a1
1291	cheaply	b1
1292	cheat	b1
1293	check	c1
1294	checklist	b1
1295	checkout	b2
1296	cheek	c1
1297	cheeky	c1
1298	cheer	c1
1299	cheerful	b1
1300	cheerfully	b2
1301	cheese	a1
1302	cheeseburger	b1
1303	chef	b1
1304	chemical	c1
1305	chemically	c1
1306	chemist	c1
1307	chemistry	b1
1308	cheque	b2
1309	cherish	b1
1310	cherry	b2
1311	cherubic	b2
1312	chess	c1
1313	chessboard	c1
1314	chest	c1
1315	chew	b1
1316	chic	c1
1317	chicken	b1
1318	chickpea	b1
1319	chief	c1
1320	child	c1
1321	childbirth	a2
1322	childhood	b1
1323	childhoodbelief	b1
1324	childish	c1
1325	childishly	c1
1326	childless	b2
1327	childlike	c1
1328	children	a1
1329	chill	a2
1330	chilli	b1
1331	chilling	c1
1332	chilly	b2
1333	chimney	c1
1334	chimpanzee	c1
1335	chin	c1
1336	chinese	c1
1337	chip	b1
1338	chirp	a2
1339	chitchat	b1
1340	chocolate	a1
1341	choice	b1
1342	choke	b2
1343	choker	b2
1344	cholesterol	a2
1345	choose	b2
1346	chop	b1
1347	chopsticks	c1
1348	chord	b2
1349	chore	b1
1350	christian	a2
1351	chrome	b2
1352	chronic	c1
1353	chronicle	c1
1354	chunk	b1
1355	church	c1
1356	churn	c1
1357	chutney	b1
1358	cigar	a1
1359	cigarette	c1
1360	cinema	a1
1361	circle	b1
1362	circles	b2
1363	circuit	b2
1364	circular	c1
1365	circulate	c1
1366	circulation	c1
1367	circumstance	c1
1368	circus	b1
1369	citadel	c1
1370	cite	b1
1371	citizen	b2
1372	citizenship	c1
1373	citron	c1
1374	city	b1
1375	civic	b2
1376	civil	c1
1377	civilisation	b2
1378	civility	b2
1379	civilization	c1
1380	civilized	c1
1381	claim	c1
1382	claimant	b2
1383	clam	b2
1384	clan	b2
1385	clap	c1
1386	clapping	c1
1387	clarion	a1
1388	clash	c1
1389	class	b1
1390	classic	b1
1391	classical	b1
1392	classified	b2
1393	classify	c1
1394	classmate	b1
1395	classroom	b1
1396	clatter	a2
1397	claustrophobic	c1
1398	clay	c1
1399	clean	c1
1400	cleaner	b1
1401	cleaning	b1
1402	cleanliness	c1
1403	clear	b2
1404	clearing	b1
1405	clearly	b2
1406	clearness	b2
1407	clenched	b1
1408	clerk	b2
1409	clever	c1
1410	cleverer	b2
