	WORD	CEFR	CLUE
172	agent	b2	['an active and efficient cause; capable of producing a certain effect', 'a representative who acts on behalf of other persons or organizations', 'a substance that exerts some force or effect', 'a businessman who buys or sells for another in exchange for a commission', 'any agent or representative of a federal agency or bureau', 'the semantic role of the animate entity that instigates or causes the happening denoted by the verb in the clause']
173	aggravation	b2	['an exasperated feeling of annoyance', 'unfriendly behavior that causes anger or resentment', 'action that makes a problem or a disease (or its symptoms) worse']
174	aggression	b1	['a disposition to behave aggressively', 'a feeling of hostility that arouses thoughts of attack', 'violent action that is hostile and usually unprovoked', 'the act of initiating hostilities', 'deliberately unfriendly behavior']
175	aggressive	b1	['having or showing determination and energetic pursuit of your ends', 'tending to spread quickly', 'characteristic of an enemy or one eager to fight']
176	aggressively	c1	['in an aggressive manner']
177	agile	b2	['moving quickly and lightly', 'mentally quick']
178	agility	b2	['the gracefulness of a person or animal that is quick and nimble']
179	agitated	a1	['try to stir up public opinion', 'cause to be agitated, excited, or roused', 'exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for', 'move very slightly', 'move or cause to move back and forth', 'change the arrangement or position of', 'troubled emotionally and usually deeply', 'physically disturbed or set in motion']
180	ago	b1	['gone by; or in the past', 'in the past']
181	agrarian	c1	['relating to rural matters']
182	agree	b2	['be in accord; be in agreement', 'consent or assent to a condition, or agree to do something', 'be compatible, similar or consistent; coincide in their characteristics', 'go together', 'show grammatical agreement', 'be agreeable or suitable', 'achieve harmony of opinion, feeling, or purpose']
183	agreeable	c1	['conforming to your own liking or feelings or nature; ; ; - Disraeli', 'in keeping', 'prepared to agree or consent']
184	agreement	b2	"['the statement (oral or written) of an exchange of promises', 'compatibility of observations', ""harmony of people's opinions or actions or characters"", 'the thing arranged or agreed to', 'the determination of grammatical inflection on the basis of word relations', 'the verbal act of agreeing']"
185	agricultural	c1	['relating to or used in or promoting agriculture or farming', 'relating to rural matters']
186	agriculture	c1	['a large-scale farming enterprise', 'the practice of cultivating the land or raising stock', 'the federal department that administers programs that provide services to farmers (including research and soil conservation and efforts to stabilize the farming economy); created in 1862', 'the class of people engaged in growing food']
187	ahead	c1	['having the leading position or higher score in a contest', 'at or in the front', 'toward the future; forward in time', 'in a forward direction', 'ahead of time; in anticipation', 'to a more advanced or advantageous position', 'to a different or a more advanced time (meaning advanced either toward the present or toward the future)', 'leading or ahead in a competition']
188	aid	b2	['a resource', 'the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose', 'money to support a worthy person or cause', 'the work of providing treatment for or attending to someone or something', 'give help or assistance; be of service', 'improve the condition of']
